B,P,C,X,N,Time
5,1,1,0,1,10.307
5,1,5,0,1,10.324
5,5,1,0,1,2.319
5,5,5,0,1,2.329
10,1,1,0,1,10.331
10,1,5,0,1,10.332
10,1,10,0,1,10.334
10,5,1,0,1,2.325
10,5,5,0,1,2.31
10,5,10,0,1,2.32
10,10,1,0,1,1.286
10,10,5,0,1,1.295
10,10,10,0,1,1.299
5,1,1,200,1,10.556
5,1,5,200,1,11.346
5,5,1,200,1,10.453
5,5,5,200,1,3.314
10,1,1,200,1,10.549
10,1,5,200,1,11.329
10,1,10,200,1,12.347
10,5,1,200,1,9.455
10,5,5,200,1,3.319
10,5,10,200,1,4.329
10,10,1,200,1,10.461
10,10,5,200,1,3.045
10,10,10,200,1,3.298
5,1,1,400,1,19.056
5,1,5,400,1,12.296
5,5,1,400,1,20.651
5,5,5,400,1,6.249
10,1,1,400,1,17.044
10,1,5,400,1,12.315
10,1,10,400,1,14.346
10,5,1,400,1,18.653
10,5,5,400,1,6.237
10,5,10,400,1,6.303
10,10,1,400,1,20.654
10,10,5,400,1,6.648
10,10,10,400,1,6.253
